element,kind,name,cost,cost_color,cost_generic,tag,atk,hp,copies,rule,budget,spent,verdict
water,creature,상어 인간,3,1,2,일반,4,1,0,소환 시 상대에게 수호 크리처가 있으면 비용을 돌려받는다,9,9,적정
water,creature,리자드 마술사,3,1,2,일반,2,3,0,내가 주문을 쓸 때마다 뒤집힌 내 지형 1장을 되돌린다,7,7,적정
water,creature,자르젤,3,1,2,비행,1,4,0,환류,8,8,적정
water,creature,리자드 전사,3,1,2,일반,3,3,0,연합,9,9,적정
water,creature,인어 마술사,3,1,2,일반,2,2,1,내가 주문을 쓸 때마다 +1/+1,6,6,적정
water,creature,해마 기병,4,2,2,일반,4,5,1,밀물,13,13,적정
water,creature,물의 정령,4,2,2,수호,3,7,2,—,20,20,적정
water,creature,마인드 플레어,4,2,2,일반,3,6,0,소환 시 크리처 1개체를 골라 인쇄된 능력치로 되돌리고 효과를 지운다,12,12,적정
water,creature,켈피,4,2,2,일반,3,6,1,환류,12,12,적정
water,creature,바다 공룡,4,2,2,일반,6,6,1,—,18,18,적정
water,creature,스킬라,5,2,3,일반,3,3,0,소환 시 1/4 수호 여왕의 가신 2개체를 양옆에 소환,9,9,적정
water,creature,폭풍의 정령,5,2,3,비행,2,4,0,환류 · 밀물,12,12,적정
water,creature,여왕의 가신,2,1,1,수호,1,4,0,—,10,10,적정
water,creature,크라켄,6,3,3,일반,7,9,0,소환 시 이 카드보다 비용이 낮은 모든 크리처를 양쪽 손으로,23,23,적정
water,creature,시 서펜트,7,3,4,수호,6,14,0,내 턴 종료마다 비용이 가장 낮은 상대 크리처 1개체를 손으로,40,40,적정
water,spell,수정구의 힘,1,1,0,지형,,,0,환류 · 뒤집힌 수정구 2장을 만든다,1,2,초과+1
water,spell,얼음 방패,1,1,0,강화,,,1,내 크리처 1개체에 +0/+3 · 수호 부여,3,5,초과+2
water,spell,정신분열,2,1,1,바운스,,,1,상대 크리처 1개체를 손으로 되돌린다,—,0,적정
water,spell,허영,2,1,1,부여,,,1,환류 · 내 크리처 1개체에 환류 부여,3,4,초과+1
water,spell,눈보라,2,1,1,부여,,,1,상대 크리처 전체에 수호 부여 · 1 피해,4,4,적정
water,spell,복제 공격,3,1,2,강화,,,0,내 손 맨 왼쪽 카드의 능력치를 내 크리처 1개체에 더한다,8,7,여유-1
water,spell,환룡 강림,3,1,2,단일,,,0,환류 · 상대의 빈 슬롯 수만큼 크리처 1개체에 피해,5,5,적정
water,spell,환영검 소환,3,1,2,단일,,,1,크리처 1개체에 그 ATK 만큼 피해,5,5,적정
water,spell,투명화,3,1,2,부여,,,1,환류 · 내 크리처 1개체에 면역 부여,5,6,초과+1
water,spell,안개성 소환,3,1,2,드로우,,,0,이번 턴에 안 쓴 내 지형을 모두 뒤집고 그 수만큼 카드를 뽑는다,3,3,적정
water,spell,인어의 노래,3,1,2,광역,,,1,ATK 2 이하인 모든 크리처의 ATK 을 0 으로,3,3,적정
water,spell,인어의 비명,4,2,2,광역,,,0,ATK 4 이하인 모든 크리처의 ATK 을 0 으로,6,5,여유-1
water,spell,폭풍우,6,3,3,광역,,,0,양쪽 빈 슬롯 수만큼 모든 크리처에 피해,14,10,여유-4
water,spell,산호의 축복,1,1,0,강화,,,0,내 크리처 1개체에 +1/+1,3,3,적정
water,enchant,폭풍의 구슬,1,1,0,지속형,3,2,0,내 턴 종료마다 카드 1장,7,6.0,적정
water,enchant,문어 다리,2,1,1,발동형,3,3,0,환류로 손에 돌아온 카드를 복제해 손으로,14,9.0,여유-5
water,enchant,소원 거울,3,1,2,지속형,3,3,0,내 턴 종료마다 내 최저 비용 크리처를 그 옆에 복제,20,18.0,적정
water,enchant,산호 검,4,2,2,지속형,4,5,0,내 턴 종료마다 산호의 축복을 손으로,25,20.0,여유-5
water,enchant,인어의 하프,4,2,2,지속형,2,3,0,내 턴 종료마다 모든 크리처의 ATK −1,25,21.0,여유-4
nature,creature,가시넝쿨,1,1,0,일반,0,3,2,성장 2,3,3,적정
nature,creature,묘목,2,1,1,일반,1,4,1,성장 4,7,6,여유-1
nature,creature,번식체,2,1,1,일반,1,2,2,증식,4,4,적정
nature,creature,새싹,2,1,1,일반,2,1,0,—,8,5,여유-3
nature,creature,숲지기,3,1,2,수호,2,5,2,—,14,14,적정
nature,creature,그리핀,3,1,2,비행,2,4,1,—,12,12,적정
nature,creature,고목,4,2,2,일반,3,11,1,성장 4,18,17,여유-1
nature,creature,포자군체,4,2,2,일반,4,3,1,증식,11,11,적정
nature,creature,대수호자,5,2,3,수호,4,12,1,—,32,32,적정
nature,creature,덩굴군주,5,2,3,관통,7,4,1,성장 3,25,25,적정
nature,creature,숲의 여왕,5,2,3,일반,7,6,1,소환 시 내 크리처 전체 +1/+1,20,20,적정
nature,creature,세계수,6,3,3,일반,14,12,1,성장 4,41,40,여유-1
nature,spell,가시,1,1,0,단일,,,1,크리처 1개체에 2 피해,2,2,적정
nature,spell,가시덩쿨,2,1,1,단일,,,1,크리처 1개체에 4 피해 · 내 크리처가 3개체 이상이면 5,4,4,적정
nature,spell,무성한 수확,3,1,2,드로우,,,1,내 크리처 수만큼 카드를 뽑는다 (최대 2장),3,3,적정
nature,spell,번성,3,1,2,강화,,,1,내 크리처 1개체에 +2/+3,7,7,적정
nature,spell,번식,4,2,2,소환,,,1,새싹 4개체를 소환한다,20,20,적정
nature,spell,태고의 성장,5,2,3,강화,,,1,내 크리처 1개체에 +3/+7,13,13,적정
nature,spell,포식,6,3,3,요격,,,1,크리처 1개체를 파괴 · 내 크리처 1개체에 +2/+2,—,0,적정
nature,enchant,생명의 샘,2,1,1,지속형,2,5,1,내 턴 종료마다 내 크리처 1개체에 +1/+1,11,10.0,적정
nature,enchant,대지의 축복,4,2,2,발동형,4,7,1,내 크리처가 소환될 때마다 그 크리처에 +1/+2,29,28.0,적정
steel,creature,파수병,1,1,0,수호,0,3,2,—,6,6,적정
steel,creature,방벽병,2,1,1,수호,1,4,2,—,10,10,적정
steel,creature,검사,2,1,1,일반,2,4,1,—,8,8,적정
steel,creature,연마병,3,1,2,일반,3,1,2,연마,7,7,적정
steel,creature,강철수호,3,1,2,수호,1,4,1,경화 1,10,10,적정
steel,creature,중장병,4,2,2,수호,2,7,1,경화 1,18,18,적정
steel,creature,기사,4,2,2,일반,7,6,1,—,20,20,적정
steel,creature,파쇄병,5,2,3,관통,6,7,1,경화 1,25,25,적정
steel,creature,요새병,5,2,3,수호,1,11,1,경화 2,24,24,적정
steel,creature,단조장인,5,2,3,일반,7,7,1,연마,21,21,적정
steel,creature,철벽,6,3,3,수호,5,15,1,경화 2,40,40,적정
steel,creature,조립 병기,4,2,2,수호,3,7,0,—,20,20,적정
steel,spell,쐐기,1,1,0,단일,,,1,크리처 1개체에 2 피해 · 경화를 무시한다,2,2,적정
steel,spell,주조,2,1,1,부여,,,1,내 크리처 1개체에 경화 1을 부여한다,4,4,적정
steel,spell,용해,3,1,2,드로우,,,1,내 크리처 1개체 HP −3 → 카드 2장을 뽑는다,3,3,적정
steel,spell,파쇄,3,1,2,파쇄,,,1,상대 인챈트의 충전을 6 제거한다,6,6,적정
steel,spell,병기 조립,4,2,2,소환,,,1,조립 병기 1개체를 소환한다,20,20,적정
steel,spell,강철 폭풍,5,2,3,광역,,,1,적 전체에 8 피해,8,8,적정
steel,spell,분쇄추,6,3,3,요격,,,1,크리처 1개체를 파괴한다,—,0,적정
steel,enchant,강철 의지,2,1,1,발동형,2,6,1,내 크리처가 피해를 받을 때마다 그 개체 HP 2 회복,13,12.0,적정
steel,enchant,병기고,4,2,2,지속형,4,6,1,내 턴 종료마다 내 크리처 1개체에 경화 1,25,24.0,적정
earth,creature,돌덩이,1,1,0,수호,0,3,2,—,6,6,적정
earth,creature,가시병,2,1,1,관통,2,2,2,—,8,8,적정
earth,creature,채석공,2,1,1,일반,2,1,1,진형,5,5,적정
earth,creature,석벽,3,1,2,수호,1,6,2,—,14,14,적정
earth,creature,창병,3,1,2,일반,4,4,1,—,12,12,적정
earth,creature,성문지기,4,2,2,수호,2,7,1,진형,19,18,여유-1
earth,creature,돌파병,4,2,2,관통,6,7,1,육중,25,25,적정
earth,creature,장군,5,2,3,일반,13,11,1,육중,37,37,적정
earth,creature,공성탑,5,2,3,수호,4,10,1,진형,29,28,여유-1
earth,creature,지진술사,5,2,3,관통,5,7,1,소환 시 슬롯 1~3에 각각 2 피해,22,22,적정
earth,creature,공성귀,6,3,3,관통,15,10,1,육중,56,55,여유-1
earth,spell,자갈,1,1,0,단일,,,1,크리처 1개체에 2 피해,2,2,적정
earth,spell,관통 사격,2,1,1,단일,,,1,크리처 1개체에 4 피해 · 경화를 무시한다,4,4,적정
earth,spell,폐허 발굴,3,1,2,드로우,,,1,"내 크리처가 없으면 카드 3장, 있으면 1장",3,3,적정
earth,spell,함몰,3,1,2,광역,,,1,슬롯 1~3번에 각각 3 피해,3,3,적정
earth,spell,축성,4,2,2,강화,,,1,내 크리처 1개체에 +2/+6,10,10,적정
earth,spell,산사태,5,2,3,광역,,,1,적 전체에 8 피해,8,8,적정
earth,spell,매몰,6,3,3,요격,,,1,크리처 1개체를 파괴한다,—,0,적정
earth,enchant,고대 제단,2,1,1,지속형,2,5,1,내 턴 종료마다 상대에게 2 피해,11,10.0,적정
earth,enchant,전열 구축,4,2,2,발동형,3,9,1,상대가 크리처를 소환할 때마다 그 크리처에 3 피해,29,27.0,적정
dark,creature,망령,1,1,0,일반,2,2,2,제물 4,6,6,적정
dark,creature,피의광신도,2,1,1,일반,4,3,2,제물 6,11,11,적정
dark,creature,흡혈박쥐,2,1,1,비행,1,3,1,흡혈,7,7,적정
dark,creature,흑기사,3,1,2,관통,4,3,2,제물 6,15,15,적정
dark,creature,흡혈귀,3,1,2,일반,2,7,1,흡혈,11,11,적정
dark,creature,그림자 습격자,4,2,2,비행,4,7,1,제물 6,23,23,적정
dark,creature,시체 수확자,4,2,2,일반,9,6,1,제물 8,24,24,적정
dark,creature,피의 군주,5,2,3,일반,9,10,1,흡혈 · 제물 8,28,28,적정
dark,creature,어둠의 수호,5,2,3,수호,4,14,1,제물 8,36,36,적정
dark,creature,심연의 사제,5,2,3,일반,8,9,1,제물 6 · 흡혈,25,25,적정
dark,creature,파괴자,6,3,3,일반,16,13,1,—,45,45,적정
dark,creature,부름의 망령,2,1,1,일반,2,4,0,—,8,8,적정
dark,creature,망자,3,1,2,일반,3,6,0,—,12,12,적정
dark,spell,피의 못,1,1,0,단일,,,1,내 HP 8 지불 → 크리처 1개체에 4 피해,4,4,적정
dark,spell,피의 계약,2,1,1,단일,,,1,내 HP 8 지불 → 크리처 1개체에 5 피해,5,5,적정
dark,spell,금단의 지식,3,1,2,드로우,,,1,내 HP 14 지불 → 카드 3장을 뽑는다,5,5,적정
dark,spell,어둠의 부름,3,1,2,소환,,,1,내 HP 8 지불 → 부름의 망령 2개체를 소환,16,16,적정
dark,spell,죽음의 계약,4,2,2,소환,,,1,내 HP 8 지불 → 망자 2개체를 소환,24,24,적정
dark,spell,흡혈 파도,5,2,3,광역,,,1,적 전체에 8 피해 · 처치한 수만큼 내 HP 4 회복,8,8,적정
dark,spell,잠식,6,3,3,요격,,,1,크리처 1개체를 파괴한다,—,0,적정
dark,enchant,흡혈 의식,2,1,1,발동형,3,4,1,내 크리처가 소멸할 때마다 내 HP 3 회복,13,12.0,적정
dark,enchant,피의 성배,4,2,2,발동형,3,9,1,내가 HP를 지불할 때마다 적 1개체에 3 피해,29,27.0,적정
light,creature,빛의 시종,1,1,0,일반,0,2,2,축복 4,2,2,적정
light,creature,성전사,2,1,1,수호,1,4,2,—,10,10,적정
light,creature,사제,2,1,1,일반,1,2,1,축복 8,4,4,적정
light,creature,치유사,3,1,2,일반,2,4,2,축복 8,8,8,적정
light,creature,빛의 매,3,1,2,비행,2,4,1,—,12,12,적정
light,creature,수호천사,4,2,2,수호,1,7,1,가호,17,16,여유-1
light,creature,성직기사,4,2,2,일반,5,6,1,축복 8,16,16,적정
light,creature,천공수호,5,2,3,비행수호,4,8,1,—,32,32,적정
light,creature,성기사,5,2,3,비행수호,4,6,1,축복 8,28,28,적정
light,creature,심판자,5,2,3,관통,5,6,1,가호,21,21,적정
light,creature,대천사,6,3,3,비행,8,7,1,가호,40,39,여유-1
light,spell,정화의 빛,1,1,0,단일,,,1,크리처 1개체에 2 피해,2,2,적정
light,spell,성수,2,1,1,회복,,,1,내 HP 8을 회복한다,8,8,적정
light,spell,계시,3,1,2,드로우,,,1,카드 2장을 뽑는다,3,3,적정
light,spell,가호의 빛,3,1,2,부여,,,1,내 크리처 1개체에 가호를 부여한다,6,6,적정
light,spell,성광,4,2,2,회복,,,1,내 HP 18을 회복한다,18,18,적정
light,spell,천벌,5,2,3,광역,,,1,적 전체에 8 피해,8,8,적정
light,spell,심판,6,3,3,요격,,,1,크리처 1개체를 파괴 · 내 HP 8 회복,—,0,적정
light,enchant,빛의 장막,2,1,1,발동형,3,4,1,내 크리처가 소환될 때마다 내 HP 3 회복,13,12.0,적정
light,enchant,성화,4,2,2,지속형,4,6,1,내 턴 종료마다 내 HP 4 회복,25,24.0,적정
